name,family_index,per_family_instance_index,run_name,run_type,repetitions,repetition_index,threads,iterations,real_time,cpu_time,time_unit,procs,strategy
BM_at/1000,0,2,BM_at/1000,iteration,1,0,1,10871243,66.69355509843318,66.69277091865187,ns,3,Pseudo-Least Recently Used
BM_at/10000,0,3,BM_at/10000,iteration,1,0,1,10621927,67.14130439759127,67.14065602220793,ns,3,Pseudo-Least Recently Used
BM_at/100000,0,4,BM_at/100000,iteration,1,0,1,10533720,67.24355536091929,67.24353438291553,ns,3,Pseudo-Least Recently Used
BM_at/1000000,0,5,BM_at/1000000,iteration,1,0,1,10557455,66.50344074345466,66.5019576214153,ns,3,Pseudo-Least Recently Used
BM_insert/10,1,0,BM_insert/10,iteration,1,0,1,1800245,388.0928501351879,388.0929651241903,ns,3,Pseudo-Least Recently Used
BM_insert/100,1,1,BM_insert/100,iteration,1,0,1,1803548,388.66652842177126,388.6620533526139,ns,3,Pseudo-Least Recently Used
BM_insert/1000,1,2,BM_insert/1000,iteration,1,0,1,1802629,388.4113852595479,388.40875299354144,ns,3,Pseudo-Least Recently Used
BM_insert/10000,1,3,BM_insert/10000,iteration,1,0,1,1799386,390.6950909844898,390.6813424134663,ns,3,Pseudo-Least Recently Used
BM_insert/100000,1,4,BM_insert/100000,iteration,1,0,1,1801220,390.81378287934837,390.80607366118267,ns,3,Pseudo-Least Recently Used
BM_insert/1000000,1,5,BM_insert/1000000,iteration,1,0,1,1800546,390.8746963399802,390.8635919326677,ns,3,Pseudo-Least Recently Used
BM_insert_at_beginning/10,2,0,BM_insert_at_beginning/10,iteration,1,0,1,3121,687142.3719962446,687133.3892983005,ns,3,Pseudo-Least Recently Used
BM_insert_at_beginning/100,2,1,BM_insert_at_beginning/100,iteration,1,0,1,2667,630396.395204271,630385.567304086,ns,3,Pseudo-Least Recently Used
BM_insert_at_beginning/1000,2,2,BM_insert_at_beginning/1000,iteration,1,0,1,1000,655071.6490019113,655043.1739999993,ns,3,Pseudo-Least Recently Used
BM_insert_at_beginning/10000,2,3,BM_insert_at_beginning/10000,iteration,1,0,1,159,4404381.20126572,4404347.679245273,ns,3,Pseudo-Least Recently Used
BM_insert_at_beginning/100000,2,4,BM_insert_at_beginning/100000,iteration,1,0,1,16,43745768.68758595,43745812.812499896,ns,3,Pseudo-Least Recently Used
BM_insert_at_beginning/1000000,2,5,BM_insert_at_beginning/1000000,iteration,1,0,1,2,436433021.9978001,436426615.000002,ns,3,Pseudo-Least Recently Used
BM_find_middle/10,3,0,BM_find_middle/10,iteration,1,0,1,1500763,460.5094535305226,460.5072086665281,ns,3,Pseudo-Least Recently Used
BM_find_middle/100,3,1,BM_find_middle/100,iteration,1,0,1,185408,3772.529421563693,3772.407835692111,ns,3,Pseudo-Least Recently Used
BM_find_middle/1000,3,2,BM_find_middle/1000,iteration,1,0,1,19436,35820.57357478901,35818.59209713901,ns,3,Pseudo-Least Recently Used
BM_find_middle/10000,3,3,BM_find_middle/10000,iteration,1,0,1,1982,350070.89809277287,350066.54692229663,ns,3,Pseudo-Least Recently Used
BM_find_middle/100000,3,4,BM_find_middle/100000,iteration,1,0,1,197,3573467.6497723665,3571776.1116750827,ns,3,Pseudo-Least Recently Used
BM_find_middle/1000000,3,5,BM_find_middle/1000000,iteration,1,0,1,20,35765709.00040679,35764636.59999973,ns,3,Pseudo-Least Recently Used
BM_std_sort/10,4,0,BM_std_sort/10,iteration,1,0,1,215030,3250.7412965921703,3250.61643491604,ns,3,Pseudo-Least Recently Used
BM_std_sort/100,4,1,BM_std_sort/100,iteration,1,0,1,6863,101952.68701516883,101952.78405944952,ns,3,Pseudo-Least Recently Used
BM_std_sort/1000,4,2,BM_std_sort/1000,iteration,1,0,1,443,1581734.79686405,1581669.4785553268,ns,3,Pseudo-Least Recently Used
BM_std_sort/10000,4,3,BM_std_sort/10000,iteration,1,0,1,29,24067152.517341916,24066892.724137828,ns,3,Pseudo-Least Recently Used
BM_std_sort/100000,4,4,BM_std_sort/100000,iteration,1,0,1,2,298922324.4949244,298922257.5000028,ns,3,Pseudo-Least Recently Used
BM_std_sort/1000000,4,5,BM_std_sort/1000000,iteration,1,0,1,1,3554536701.005418,3554484325.999994,ns,3,Pseudo-Least Recently Used
BM_at/10,0,0,BM_at/10,iteration,1,0,1,10274916,68.27659369654602,68.27479358468779,ns,4,Least Recently Used
BM_at/100,0,1,BM_at/100,iteration,1,0,1,10282494,68.33087488526685,68.33040379114261,ns,4,Least Recently Used
BM_at/1000,0,2,BM_at/1000,iteration,1,0,1,10224094,68.26237112004233,68.26055462713873,ns,4,Least Recently Used
BM_at/10000,0,3,BM_at/10000,iteration,1,0,1,10246431,68.41707429623119,68.41445211508261,ns,4,Least Recently Used
BM_at/100000,0,4,BM_at/100000,iteration,1,0,1,10247313,68.46396494242606,68.462082694263,ns,4,Least Recently Used
BM_at/1000000,0,5,BM_at/1000000,iteration,1,0,1,10257136,68.29352735468926,68.29080661502368,ns,4,Least Recently Used
BM_insert/10,1,0,BM_insert/10,iteration,1,0,1,1532503,457.50599770107954,457.5019911869639,ns,4,Least Recently Used
BM_insert/100,1,1,BM_insert/100,iteration,1,0,1,1527641,456.9124237946191,456.904473629601,ns,4,Least Recently Used
BM_insert/1000,1,2,BM_insert/1000,iteration,1,0,1,1534359,457.7310323247883,457.72758461351134,ns,4,Least Recently Used
BM_insert/10000,1,3,BM_insert/10000,iteration,1,0,1,1528286,457.46077567348294,457.45163732442694,ns,4,Least Recently Used
BM_insert/100000,1,4,BM_insert/100000,iteration,1,0,1,1535503,456.63825273879456,456.6323680253313,ns,4,Least Recently Used
BM_insert/1000000,1,5,BM_insert/1000000,iteration,1,0,1,1540268,458.07662951474583,458.0779507202642,ns,4,Least Recently Used
BM_insert_at_beginning/10,2,0,BM_insert_at_beginning/10,iteration,1,0,1,2663,690412.3627415106,690403.0563274493,ns,4,Least Recently Used
BM_insert_at_beginning/100,2,1,BM_insert_at_beginning/100,iteration,1,0,1,2315,631897.1922281188,631870.4431965449,ns,4,Least Recently Used
BM_insert_at_beginning/1000,2,2,BM_insert_at_beginning/1000,iteration,1,0,1,1320,834649.6121014229,834649.3727272727,ns,4,Least Recently Used
BM_insert_at_beginning/10000,2,3,BM_insert_at_beginning/10000,iteration,1,0,1,138,5082041.065232235,5081989.623188412,ns,4,Least Recently Used
BM_insert_at_beginning/100000,2,4,BM_insert_at_beginning/100000,iteration,1,0,1,14,51544878.99978579,51544546.35714296,ns,4,Least Recently Used
BM_insert_at_beginning/1000000,2,5,BM_insert_at_beginning/1000000,iteration,1,0,1,1,514836767.97943187,514829486.0000036,ns,4,Least Recently Used
BM_find_middle/10,3,0,BM_find_middle/10,iteration,1,0,1,1487889,467.48779512600095,467.4882877687829,ns,4,Least Recently Used
BM_find_middle/100,3,1,BM_find_middle/100,iteration,1,0,1,181272,3862.992309947221,3862.960473763151,ns,4,Least Recently Used
